0:0:0  0:0:0  0  Mash-tun  140.2 F, Target: 145.0 F, Pump off, status 0   HLT  151.0 F, Target: 155.0 F, Heat off, status 0 mix 0

Low temp - turning on the burner.

0:0:3  0:0:0  0  Mash-tun  140.2 F, Target: 145.0 F, Pump on, status 3   HLT  151.3 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:6  0:0:0  0  Mash-tun  140.2 F, Target: 145.0 F, Pump on, status 3   HLT  151.3 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:9  0:0:0  0  Mash-tun  140.2 F, Target: 145.0 F, Pump on, status 3   HLT  151.5 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:12  0:0:0  0  Mash-tun  140.2 F, Target: 145.0 F, Pump on, status 3   HLT  151.5 F, Target: 155.0 F, Heat on, status 1 mix 0

Echo --  now 7.51 and I started at 7.22 

0:0:15  0:0:0  0  Mash-tun  140.2 F, Target: 145.0 F, Pump on, status 3   HLT  151.6 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:18  0:0:0  0  Mash-tun  140.2 F, Target: 145.0 F, Pump on, status 3   HLT  151.7 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:21  0:0:0  0  Mash-tun  140.3 F, Target: 145.0 F, Pump on, status 3   HLT  151.7 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:24  0:0:0  0  Mash-tun  140.3 F, Target: 145.0 F, Pump on, status 3   HLT  151.7 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:27  0:0:0  0  Mash-tun  140.2 F, Target: 145.0 F, Pump on, status 3   HLT  151.7 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:30  0:0:0  0  Mash-tun  140.3 F, Target: 145.0 F, Pump on, status 3   HLT  151.7 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:33  0:0:0  0  Mash-tun  140.3 F, Target: 145.0 F, Pump on, status 3   HLT  151.8 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:36  0:0:0  0  Mash-tun  140.3 F, Target: 145.0 F, Pump on, status 3   HLT  151.8 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:39  0:0:0  0  Mash-tun  140.3 F, Target: 145.0 F, Pump on, status 3   HLT  151.9 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:42  0:0:0  0  Mash-tun  140.3 F, Target: 145.0 F, Pump on, status 3   HLT  152.0 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:45  0:0:0  0  Mash-tun  140.3 F, Target: 145.0 F, Pump on, status 3   HLT  152.1 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:48  0:0:0  0  Mash-tun  140.5 F, Target: 145.0 F, Pump on, status 3   HLT  152.3 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:51  0:0:0  0  Mash-tun  140.5 F, Target: 145.0 F, Pump on, status 3   HLT  152.1 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:54  0:0:0  0  Mash-tun  140.5 F, Target: 145.0 F, Pump on, status 3   HLT  152.1 F, Target: 155.0 F, Heat on, status 1 mix 0

0:0:57  0:0:0  0  Mash-tun  140.5 F, Target: 145.0 F, Pump on, status 3   HLT  152.0 F, Target: 155.0 F, Heat on, status 1 mix 0

0:1:0  0:0:0  0  Mash-tun  140.5 F, Target: 145.0 F, Pump on, status 3   HLT  152.0 F, Target: 155.0 F, Heat on, status 1 mix 0

Cycling - turning off the burner.

0:1:3  0:0:0  0  Mash-tun  140.6 F, Target: 145.0 F, Pump on, status 3   HLT  152.0 F, Target: 155.0 F, Heat off, status -1 mix 0

0:1:6  0:0:0  0  Mash-tun  140.6 F, Target: 145.0 F, Pump on, status 3   HLT  152.0 F, Target: 155.0 F, Heat off, status -1 mix 0

0:1:9  0:0:0  0  Mash-tun  140.6 F, Target: 145.0 F, Pump on, status 3   HLT  152.0 F, Target: 155.0 F, Heat off, status -1 mix 0

0:1:12  0:0:0  0  Mash-tun  140.7 F, Target: 145.0 F, Pump on, status 3   HLT  152.0 F, Target: 155.0 F, Heat off, status -1 mix 0

0:1:15  0:0:0  0  Mash-tun  140.7 F, Target: 145.0 F, Pump on, status 3   HLT  152.1 F, Target: 155.0 F, Heat off, status -1 mix 0

0:1:18  0:0:0  0  Mash-tun  140.7 F, Target: 145.0 F, Pump on, status 3   HLT  152.1 F, Target: 155.0 F, Heat off, status -1 mix 0

