0:0:3  0:0:0  -1  Mash-tun  142.3 F, Target: 154.0 F, Pump on, status 3   HLT  193.7 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:6  0:0:0  -1  Mash-tun  142.0 F, Target: 154.0 F, Pump on, status 3   HLT  193.7 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:9  0:0:0  -1  Mash-tun  141.9 F, Target: 154.0 F, Pump on, status 3   HLT  193.8 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:12  0:0:0  -1  Mash-tun  141.8 F, Target: 154.0 F, Pump on, status 3   HLT  193.8 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:15  0:0:0  -1  Mash-tun  141.7 F, Target: 154.0 F, Pump on, status 3   HLT  193.8 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:18  0:0:0  -1  Mash-tun  141.7 F, Target: 154.0 F, Pump on, status 3   HLT  193.9 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:21  0:0:0  -1  Mash-tun  141.4 F, Target: 154.0 F, Pump on, status 3   HLT  194.0 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:24  0:0:0  -1  Mash-tun  141.6 F, Target: 154.0 F, Pump on, status 3   HLT  194.2 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:27  0:0:0  -1  Mash-tun  142.8 F, Target: 154.0 F, Pump on, status 3   HLT  194.5 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:30  0:0:0  -1  Mash-tun  143.6 F, Target: 154.0 F, Pump on, status 3   HLT  194.6 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:33  0:0:0  -1  Mash-tun  144.0 F, Target: 154.0 F, Pump on, status 3   HLT  194.6 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:36  0:0:0  -1  Mash-tun  144.0 F, Target: 154.0 F, Pump on, status 3   HLT  194.6 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:39  0:0:0  -1  Mash-tun  143.8 F, Target: 154.0 F, Pump on, status 3   HLT  194.6 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:42  0:0:0  -1  Mash-tun  143.7 F, Target: 154.0 F, Pump on, status 3   HLT  194.6 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:45  0:0:0  -1  Mash-tun  143.6 F, Target: 154.0 F, Pump on, status 3   HLT  194.5 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:48  0:0:0  -1  Mash-tun  143.6 F, Target: 154.0 F, Pump on, status 3   HLT  192.5 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:51  0:0:0  -1  Mash-tun  143.5 F, Target: 154.0 F, Pump on, status 3   HLT  188.0 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:54  0:0:0  -1  Mash-tun  143.3 F, Target: 154.0 F, Pump on, status 3   HLT  183.4 F, Target: 164.0 F, Heat off, status -3 mix 0
0:0:57  0:0:0  -1  Mash-tun  143.3 F, Target: 154.0 F, Pump on, status 3   HLT  179.5 F, Target: 164.0 F, Heat off, status -3 mix 0
0:1:0  0:0:0  -1  Mash-tun  143.1 F, Target: 154.0 F, Pump on, status 3   HLT  176.0 F, Target: 164.0 F, Heat off, status -3 mix 0
0:1:3  0:0:0  -1  Mash-tun  143.0 F, Target: 154.0 F, Pump on, status 3   HLT  173.0 F, Target: 164.0 F, Heat off, status -3 mix 0
0:1:6  0:0:0  -1  Mash-tun  142.9 F, Target: 154.0 F, Pump on, status 3   HLT  170.4 F, Target: 164.0 F, Heat off, status -3 mix 0
0:1:9  0:0:0  -1  Mash-tun  142.9 F, Target: 154.0 F, Pump on, status 3   HLT  168.1 F, Target: 164.0 F, Heat off, status 0 mix 0
0:1:12  0:0:0  -1  Mash-tun  142.7 F, Target: 154.0 F, Pump on, status 3   HLT  166.2 F, Target: 164.0 F, Heat off, status 0 mix 0
0:1:15  0:0:0  -1  Mash-tun  143.0 F, Target: 154.0 F, Pump on, status 3   HLT  164.6 F, Target: 164.0 F, Heat off, status 0 mix 0
0:1:18  0:0:0  -1  Mash-tun  144.5 F, Target: 154.0 F, Pump on, status 3   HLT  163.3 F, Target: 164.0 F, Heat off, status 0 mix 0
0:1:21  0:0:0  -1  Mash-tun  144.6 F, Target: 154.0 F, Pump on, status 3   HLT  162.3 F, Target: 164.0 F, Heat on, status 1 mix 0
0:1:24  0:0:0  -1  Mash-tun  144.3 F, Target: 154.0 F, Pump on, status 3   HLT  161.3 F, Target: 164.0 F, Heat on, status 1 mix 0
0:1:27  0:0:0  -1  Mash-tun  144.2 F, Target: 154.0 F, Pump on, status 3   HLT  160.5 F, Target: 164.0 F, Heat on, status 1 mix 0
0:1:30  0:0:0  -1  Mash-tun  144.0 F, Target: 154.0 F, Pump on, status 3   HLT  159.7 F, Target: 164.0 F, Heat on, status 1 mix 0
0:1:33  0:0:0  -1  Mash-tun  143.7 F, Target: 154.0 F, Pump on, status 3   HLT  159.1 F, Target: 164.0 F, Heat on, status 1 mix 0
