abbas, father
abbatis, abbot
abbatia, abbey
abduco, lead
abeo, go
abeo, digress
abscido, cut
absconditus, hidden
absens, absentis
absorbeo, swallow
absque, 
abstergo, wipe
absum, be
abundans, abundant
abundantia, abundance
abutor, make
abutor, use
ac, and
accedo, approach
accendo, kindle
acceptus, welcome
accipio, consider
accommodo, adjust
accusator, accusor
accuso, accuse
acer, sharp
acerbitas, harshness
acerbus, bitter
acervus, a
acidus, sharp
acies, keenness
acquiro, acquire
acsi, as
adamo, fall
adaugeo, make
ad, to
addo, give
adduco, lead
adeo, such
adeo, approach
adeptio, attainment
adepto, obtain
affectus, influenced
adfero, cause
affero, cause
adficio, affect
affligo, injure
adhaero, hang
adhuc, till
adicio, direct
adimpleo, fulfill 
adipiscor, come
adiuvo, help
administratio, giving
admiratio, wonder
admiror, wonder
admitto, admit
admoneo, admonish
admonitio, warning
admoveo, move
adnuo, nod
adopto, wish
adsidue, continuously
adstringo, tight
adsuesco , grow
adsum, assist
adsumo, take
adulatio, fawning
adulescens, young
adulescentia, youth
aduro, set
adveniat, down
advenio, come
adverto, turn
advoco, summon
edificium, building
aeger, sick
egresco, fall
aegresco, become
aegretudo, sickness
egrotatio, sickness
aegrus, ill
eneus, made
equitas, justice
equus, calm
estas, summer
estivus, pertaining
estus, heat
aetas, an
eternus, eternal
ager, farm
aggero, make
aggredior, go
agnitio, recognition
agnosco, know
agnosco, acknowledge
agnosco, recognize
ago, spend
ait, he
alienus, somebody
alii, some
aliqua, some
aliquando, at 
aliqui, some
aliquid, someone
aliquis, someone
aliquot, some
aliquotiens, some
alius, other
allatus, having
alo, nourish
alter, the other
altus, high
alveus, hollow
amaritudo, bitterness
ambitus, border
ambulo, walk
amicitia, friendship
amiculum, cloak
amicus, friend
amissio, loss
amita, father
amitto, dismiss
amitto, send
amo, love
amor, love
amoveo, move
amplexus, an
amplitudo, size
amplus, large
ancilla, maidservant
angelus, angel
angulus, corner
angustus, narrow
animadverto, turn
animi, at
animus, character
annus, year
anser, goose
antiquus, ancient
aperio, uncover
aperte, openly
apparatus, equipment
appareo, become
appello, call
appono, appoint
appono, place
appositus, placed
approbo, approve
apto, fit
aptus, fitted
aptus, suitable
aqua, water
ara, altar
aranea, spider
arbitro, witness
arbor, tree
arbustum, vinyard
arbustus, planted
arca, chest
arceo, shut
arcesso, accerso
arcus, bow
argentum, silver
argumentum, proof
arguo, show
arma, arms
armarium, cupboard
armo, provide
aro, plow
ars, artis
articulus, 
artificiose, skillfully
artificiosus, skillful
arto, press
arx , arcis
ascisco, receive
asper, rough
asperitas, roughness
aspicio, look
asporto, carry
assentator, flatterer
astrum, star
at, but
atavus, great
ater atra atrum, dark
atqui, still
atrocitas, hashness
atrox, terrible
attero, destroy
attero, weaken
attollo, raise
attonbitus, frantic
auctor, author
auctoritas, authority
auctus, growth
audacia, boldness
audacter, audaciter
audax, bold
audentia, boldness
audeo, 
audio, hear
auditor, hearer
aufero, carry
aureus, golden
auris, ear
aurum, gold
aut, either
autem, moreover
autus, increase 
auxilium, aid
avaritia, avarice
avarus, greedy
aveho, carry
averto, turn
Avesniis, 
avoco, call
baiulus, porter
balbus, stammering
barba, beard
bardus, stupid
basium, kiss
beatus, blessed
bellicus, martial
bellum, war
bellus, beautiful
bene, melior
beneficium, benefit
benevolentia, benevolence
benigne, kindly 
bestia, animal
bibo, drink
bis, twice
blandior, flatter
blanditia, blandishments 
bonus , good
melior , good
bonum, good
optimus, good
bos, cow
brevis, short
brevitas, shortness
breviter, briefly 
cado, fall
caecus, blind
caelestis, heavenly
caelum, sky
caelis, heavens
caelo, heaven
calamitas, calamity
calamus, anything
calcar, sput
calco, tread
calculus, pebble
callide, skillfully
callidus, clever 
campana, bell
candidus, bright
canis, dog
canes, dogs
canonicus, canonical
canonus, canon
canto, sing
capillus, hair
capio, seize
capitulus, chapter
capto, grab
caput, head
carbo , carbon
carbonis, carbon
carcer, prison
careo, lack
caries, rottenness
cariosus, rotten
caritas, dearness
carmen, song
carpo, pluck
carus, dear
casso, bring
caste, purely 
casus, accident
catena, chain
caterva, crowd
catervatim, in 
cattus, cat
cauda, tail 
causa, cause
causa, case
caute cautim, cautiously
cautela, caution
caveo cavi cautum, beware
cavus, hole
cedo, go
celebrer, famous
celebrus, abounding
celer, quick
celeritas, speed
celeriter, rapidly
celo, hide
cena, dinner
cenaculum, garret
ceno, dine
censura, judgement
centum, hundred
cerno, separate
cernuus, falling
certo, contend
certus, undoubted
certus, settled
cervus, stag
cetera, for
ceteri, the
ceterum, moreover
ceterus, the
charisma, gift
chirographum, autograph
cibo, food
cibus, food
cicuta, hemlock
cimentarius, mason
ciminatio, accusation
ciminosus, reproachful
cinis cineris, ashes
circumvenio, come
circumvenio, beset
cito: quickly, rapidly
civilis, civil
civis, citizen
civitas, state
clam, secretly
clamo, call
clamor, loud
claro, make
clarus, clear
claudeo, limp
claudo , confine
claudus, lame
claustrum, bolt
clementia, indulgence
clibanus, oven
coaegresco, become
coepi, started 
coerceo, surround
cogito, think
cognatus, kinsman
cognomen, surname
cognosco, examine
cogo, coegi
cogo, coegi
cohaero, adhere 
cohero, adhere 
cohesi, adhere 
cohesum, adhere
cohibeo, confine
cohors, troop
cohortor, encourage
colligo, gather
colloco, place
collum, neck
cultum, cultivate
color, color
coloratus, colored
coloro, color
coma, hair
combibo, drink
comburo, burn
comedo, eat
comedi, eat
comesum, eat
comitis, companion
cometes, comet
cometissa, countess
comis, courteous
comitatus, train
comiter, courteously
comitto, entrust
commemoro, remind
commeo, go
commessatio, onis
comminor, threaten
comminuo, scatter
comminus, hand
commisceo, intermingle
commissum, undertaking
commodo, make
commodum, suitable
commodum, convenience
commoneo, remind
commoneo, remember
commoneo, impress
commoveo, move
communis, common
comparo, compare
compatior, suffer
compello, drive
comperio, disclose
comperte, on
compes, compedis
compes, fetters
competo, fit
complectus, embrace
compleo, finish
compleo, fill
compono, put
compositio, composition
compositus, orderly
comprehendo, seize
comprehendo, grasp
comprehendo, embrace
comprobo, approve
comprovincialis, born
comptus, hairband
conatus, exertion
concedo, concede
concepta, measures
concero, connect
concido, fall
concilium, council
concipio, take
concisus, cut
concito, move
conculco, tread
concupiscentia, avarice
concupisco, covet
concutio, shake
concutio, shake
condico, agree
conduco, hire
confero, bring
confero, discuss
confestim, immediately
confido, have
confiteor, confess
conforto, strengthen
confugo, flee
congregatio, assembly
congrego, gather
congruus, agreeing
conicio, hurl
coniecto, throw
conitor, press
coniuratio, conspiracy
coniuratus, conspirator
coniuro, take
conor, undertake
conqueror, complain
conscendo, ascend
conscientia, conscience
conscindo, tear
conscius, conscious
conservo, preserve
considero, look
consido, set
consilio, intentionally
consilium, deliberation
consilium, advice 
consisto, take
consitor, sower
conspergo, sprinkle
conspicio, catch
constans, steady
constanter, steadily
constituo, set
constituo, arrange
constrictum, bind
constructum, construct
constupator, ravisher
constupro, ravish
consuasor, advisor
consuefacio, accustom
consuesco, accustom
consueta, customary
