
TEST CASES
case	Camera	Radar	TS-Display	HUD	Indicator	pairings
1	Dynamic	2D	OFF	NameBar	Name	10
2	Dynamic	3D	ON	Indicator	Number	10
3	DynamicV2	2D	ON	NameBar	Number	8
4	DynamicV2	3D	OFF	Indicator	Name	8
5	Tele	OFF	OFF	NameBar	Number	8
6	Tele	OFF	ON	Indicator	Name	7
7	EndToEnd	2D	OFF	Indicator	Number	5
8	EndToEnd	3D	ON	NameBar	Name	5
9	Pro	2D	ON	Indicator	Name	4
10	Pro	3D	OFF	NameBar	Number	4
11	Dynamic	OFF	~OFF	~Indicator	~Name	1
12	DynamicV2	OFF	~ON	~NameBar	~Number	1
13	Tele	2D	~OFF	~NameBar	~Name	1
14	Tele	3D	~ON	~Indicator	~Number	1
15	EndToEnd	OFF	~OFF	~Indicator	~Number	1
16	Pro	OFF	~ON	~NameBar	~Name	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
Camera	Radar	Dynamic	2D	1	1
Camera	Radar	Dynamic	3D	1	2
Camera	Radar	Dynamic	OFF	1	11
Camera	Radar	DynamicV2	2D	1	3
Camera	Radar	DynamicV2	3D	1	4
Camera	Radar	DynamicV2	OFF	1	12
Camera	Radar	Tele	2D	1	13
Camera	Radar	Tele	3D	1	14
Camera	Radar	Tele	OFF	2	5, 6
Camera	Radar	EndToEnd	2D	1	7
Camera	Radar	EndToEnd	3D	1	8
Camera	Radar	EndToEnd	OFF	1	15
Camera	Radar	Pro	2D	1	9
Camera	Radar	Pro	3D	1	10
Camera	Radar	Pro	OFF	1	16
Camera	TS-Display	Dynamic	OFF	2	1, 11
Camera	TS-Display	Dynamic	ON	1	2
Camera	TS-Display	DynamicV2	OFF	1	4
Camera	TS-Display	DynamicV2	ON	2	3, 12
Camera	TS-Display	Tele	OFF	2	5, 13
Camera	TS-Display	Tele	ON	2	6, 14
Camera	TS-Display	EndToEnd	OFF	2	7, 15
Camera	TS-Display	EndToEnd	ON	1	8
Camera	TS-Display	Pro	OFF	1	10
Camera	TS-Display	Pro	ON	2	9, 16
Camera	HUD	Dynamic	NameBar	1	1
Camera	HUD	Dynamic	Indicator	2	2, 11
Camera	HUD	DynamicV2	NameBar	2	3, 12
Camera	HUD	DynamicV2	Indicator	1	4
Camera	HUD	Tele	NameBar	2	5, 13
Camera	HUD	Tele	Indicator	2	6, 14
Camera	HUD	EndToEnd	NameBar	1	8
Camera	HUD	EndToEnd	Indicator	2	7, 15
Camera	HUD	Pro	NameBar	2	10, 16
Camera	HUD	Pro	Indicator	1	9
Camera	Indicator	Dynamic	Name	2	1, 11
Camera	Indicator	Dynamic	Number	1	2
Camera	Indicator	DynamicV2	Name	1	4
Camera	Indicator	DynamicV2	Number	2	3, 12
Camera	Indicator	Tele	Name	2	6, 13
Camera	Indicator	Tele	Number	2	5, 14
Camera	Indicator	EndToEnd	Name	1	8
Camera	Indicator	EndToEnd	Number	2	7, 15
Camera	Indicator	Pro	Name	2	9, 16
Camera	Indicator	Pro	Number	1	10
Radar	TS-Display	2D	OFF	3	1, 7, 13
Radar	TS-Display	2D	ON	2	3, 9
Radar	TS-Display	3D	OFF	2	4, 10
Radar	TS-Display	3D	ON	3	2, 8, 14
Radar	TS-Display	OFF	OFF	3	5, 11, 15
Radar	TS-Display	OFF	ON	3	6, 12, 16
Radar	HUD	2D	NameBar	3	1, 3, 13
Radar	HUD	2D	Indicator	2	7, 9
Radar	HUD	3D	NameBar	2	8, 10
Radar	HUD	3D	Indicator	3	2, 4, 14
Radar	HUD	OFF	NameBar	3	5, 12, 16
Radar	HUD	OFF	Indicator	3	6, 11, 15
Radar	Indicator	2D	Name	3	1, 9, 13
Radar	Indicator	2D	Number	2	3, 7
Radar	Indicator	3D	Name	2	4, 8
Radar	Indicator	3D	Number	3	2, 10, 14
Radar	Indicator	OFF	Name	3	6, 11, 16
Radar	Indicator	OFF	Number	3	5, 12, 15
TS-Display	HUD	OFF	NameBar	4	1, 5, 10, 13
TS-Display	HUD	OFF	Indicator	4	4, 7, 11, 15
TS-Display	HUD	ON	NameBar	4	3, 8, 12, 16
TS-Display	HUD	ON	Indicator	4	2, 6, 9, 14
TS-Display	Indicator	OFF	Name	4	1, 4, 11, 13
TS-Display	Indicator	OFF	Number	4	5, 7, 10, 15
TS-Display	Indicator	ON	Name	4	6, 8, 9, 16
TS-Display	Indicator	ON	Number	4	2, 3, 12, 14
HUD	Indicator	NameBar	Name	4	1, 8, 13, 16
HUD	Indicator	NameBar	Number	4	3, 5, 10, 12
HUD	Indicator	Indicator	Name	4	4, 6, 9, 11
HUD	Indicator	Indicator	Number	4	2, 7, 14, 15
