TEST CASES								
case	Camera	Radar	TS-Display	HUD	PlayerIndicator	GamertagIndicator	NetTension	pairings
1	Dynamic	2D	OFF	NameBar	Name	OFF	Default	21
2	Dynamic	3D	ON	Indicator	Number	ON	Regular	21
3	Co-Op	3D	ON	NameBar	Number	OFF	Default	15
4	Co-Op	2D	OFF	Indicator	Name	ON	Regular	15
5	Tele	OFF	ON	NameBar	Name	ON	Loose	17
6	Tele	OFF	OFF	Indicator	Number	OFF	Tight	16
7	EndToEnd	2D	ON	Indicator	Number	OFF	Loose	12
8	EndToEnd	3D	OFF	NameBar	Name	ON	Tight	12
9	Pro	OFF	ON	Indicator	Name	ON	Default	9
10	Pro	2D	OFF	NameBar	Number	OFF	Regular	8
11	Broadcast	3D	OFF	Indicator	Name	OFF	Loose	8
12	Broadcast	2D	ON	NameBar	Number	ON	Tight	8
13	Dynamic	OFF	~ON	~NameBar	~Name	~OFF	Regular	2
14	Co-Op	OFF	~OFF	~NameBar	~Number	~ON	Loose	2
15	Tele	2D	~OFF	~Indicator	~Number	~ON	Default	2
16	Tele	3D	~ON	~NameBar	~Name	~OFF	Regular	2
17	EndToEnd	OFF	~OFF	~Indicator	~Number	~OFF	Default	2
18	Pro	3D	~ON	~Indicator	~Name	~OFF	Tight	2
19	Broadcast	OFF	~ON	~NameBar	~Name	~ON	Default	2
20	Dynamic	~3D	~OFF	~Indicator	~Number	~ON	Loose	1
21	Co-Op	~2D	~ON	~Indicator	~Name	~OFF	Tight	1
22	EndToEnd	~OFF	~ON	~NameBar	~Name	~ON	Regular	1
23	Pro	~2D	~OFF	~NameBar	~Number	~ON	Loose	1
24	Broadcast	~3D	~OFF	~Indicator	~Number	~OFF	Regular	1
25	Dynamic	~OFF	~OFF	~NameBar	~Number	~ON	Tight	1

PAIRING DETAILS								
var1	var2	value1	value2	appearances	cases			
Camera	NetTension	Dynamic	Default	1	1			
Camera	NetTension	Dynamic	Regular	2	"2, 13"
Camera	NetTension	Dynamic	Loose	1	20
Camera	NetTension	Dynamic	Tight	1	25
Camera	NetTension	Co-Op	Default	1	3
Camera	NetTension	Co-Op	Regular	1	4
Camera	NetTension	Co-Op	Loose	1	14
Camera	NetTension	Co-Op	Tight	1	21
Camera	NetTension	Tele	Default	1	15
Camera	NetTension	Tele	Regular	1	16
Camera	NetTension	Tele	Loose	1	5
Camera	NetTension	Tele	Tight	1	6
Camera	NetTension	EndToEnd	Default	1	17
Camera	NetTension	EndToEnd	Regular	1	22
Camera	NetTension	EndToEnd	Loose	1	7
Camera	NetTension	EndToEnd	Tight	1	8
Camera	NetTension	Pro	Default	1	9
Camera	NetTension	Pro	Regular	1	10
Camera	NetTension	Pro	Loose	1	23
Camera	NetTension	Pro	Tight	1	18
Camera	NetTension	Broadcast	Default	1	19
Camera	NetTension	Broadcast	Regular	1	24
Camera	NetTension	Broadcast	Loose	1	11
Camera	NetTension	Broadcast	Tight	1	12
Camera	Radar	Dynamic	2D	1	1
Camera	Radar	Dynamic	3D	2	"2, 20"
Camera	Radar	Dynamic	OFF	2	"13, 25"
Camera	Radar	Co-Op	2D	2	"4, 21"
Camera	Radar	Co-Op	3D	1	3
Camera	Radar	Co-Op	OFF	1	14
Camera	Radar	Tele	2D	1	15
Camera	Radar	Tele	3D	1	16
Camera	Radar	Tele	OFF	2	"5, 6"
Camera	Radar	EndToEnd	2D	1	7
Camera	Radar	EndToEnd	3D	1	8
Camera	Radar	EndToEnd	OFF	2	"17, 22"
Camera	Radar	Pro	2D	2	"10, 23"
Camera	Radar	Pro	3D	1	18
Camera	Radar	Pro	OFF	1	9
Camera	Radar	Broadcast	2D	1	12
Camera	Radar	Broadcast	3D	2	"11, 24"
Camera	Radar	Broadcast	OFF	1	19
Camera	HUD	Dynamic	NameBar	3	"1, 13, 25"
Camera	HUD	Dynamic	Indicator	2	"2, 20"
Camera	HUD	Co-Op	NameBar	2	"3, 14"
Camera	HUD	Co-Op	Indicator	2	"4, 21"
Camera	HUD	Tele	NameBar	2	"5, 16"
Camera	HUD	Tele	Indicator	2	"6, 15"
Camera	HUD	EndToEnd	NameBar	2	"8, 22"
Camera	HUD	EndToEnd	Indicator	2	"7, 17"
